asin,title,price,image_url,product_url,ASIN,BrowseNodeInfo.BrowseNodes.0.SalesRank,Offers.Listings.0.Price.Amount,Offers.Listings.0.Price.Currency,Offers.Listings.0.Price.DisplayAmount,Offers.Listings.0.SavingBasis.Percentage
B0CV17X5ZB,"Pepe Jeans Men's Regular Jeans (PM207917AA02_RAW Used_Dark Indigo Blue","₹1,619.00",https://m.media-amazon.com/images/I/31RxUlmdCqL._SL500_.jpg,https://www.amazon.in/dp/B0CV17X5ZB?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CV17X5ZB,475,1619,INR,"₹1,619.00",N/A
B08961VVN5,"Ben Martin Men's Slim Fit Stretchable 32 Size Light Blue Cotton Denim Jeans Pant for Men, JJ3-20",₹649.00,https://m.media-amazon.com/images/I/3143B4s6DGL._SL500_.jpg,https://www.amazon.in/dp/B08961VVN5?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B08961VVN5,205,649,INR,₹649.00,N/A
B095X76WFM,"Ben Martin Men's Pack of 2 Regular Fit Stretchable 32 Size Light Blue & Grey Casusal Denim Combo Jeans Pant for Men, CMB-7",₹999.00,https://m.media-amazon.com/images/I/41AOSEZSY3S._SL500_.jpg,https://www.amazon.in/dp/B095X76WFM?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B095X76WFM,30,999,INR,₹999.00,N/A
B0963L5NQ1,"Ben Martin Men's Pack of 2 Regular Fit Stretchable 36 Size Black & Dark Blue Casusal Denim Combo Jeans Pant for Men, CMB-2",₹999.00,https://m.media-amazon.com/images/I/41P1TCm73QS._SL500_.jpg,https://www.amazon.in/dp/B0963L5NQ1?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0963L5NQ1,504,999,INR,₹999.00,N/A
B0C1RZ6F15,"Peter England Men's Skinny Jeans (PJDNASKF704235_Blue_34)",₹959.00,https://m.media-amazon.com/images/I/31VtYGuB72L._SL500_.jpg,https://www.amazon.in/dp/B0C1RZ6F15?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0C1RZ6F15,66,959,INR,₹959.00,N/A
B0B6JBK1TK,"Peter England Men's Slim Jeans (PJDNPSTBL16345_Navy_34)","₹1,199.00",https://m.media-amazon.com/images/I/31YhxMqJ8yL._SL500_.jpg,https://www.amazon.in/dp/B0B6JBK1TK?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0B6JBK1TK,175,1199,INR,"₹1,199.00",N/A
B0D6MV6K8F,"Lymio Men Jeans || Jeans for Men || Jogger Jeans (Jeans-11-12) (34, Black)",₹799.00,https://m.media-amazon.com/images/I/311Tb3rqb6L._SL500_.jpg,https://www.amazon.in/dp/B0D6MV6K8F?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D6MV6K8F,34,799,INR,₹799.00,N/A
B0CV7K4LNP,"KARGEENS Men's Slim Fit Stretchable Jeans Pant for Casual Stylish Cotton Blend Denim (k2532_Grey_34)",₹699.00,https://m.media-amazon.com/images/I/31nUhM8cQVL._SL500_.jpg,https://www.amazon.in/dp/B0CV7K4LNP?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CV7K4LNP,28,699,INR,₹699.00,N/A
B07QGPJ79Z,"Neostreak Men's Slim Fit Stretchable Jeans (neoeps-lblue Light Blue_40)",₹659.00,https://m.media-amazon.com/images/I/31PtbwCWdsL._SL500_.jpg,https://www.amazon.in/dp/B07QGPJ79Z?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B07QGPJ79Z,40,659,INR,₹659.00,N/A
B0D5YPVG4M,"The Indian Garage Co Men's Dad Fit Jeans (0923-366CRGDNM-03_Grey",₹892.00,https://m.media-amazon.com/images/I/41PE+CPTzkL._SL500_.jpg,https://www.amazon.in/dp/B0D5YPVG4M?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D5YPVG4M,157,892,INR,₹892.00,N/A
B0D4V3TB91,"Ben Martin Men's Slim Fit Pack of 2 Stretchable Size 36 Green & Grey Casusal Denim Combo Jeans Pant for Men, CMB-AU24",₹999.00,https://m.media-amazon.com/images/I/41erKH1+eYL._SL500_.jpg,https://www.amazon.in/dp/B0D4V3TB91?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D4V3TB91,311,999,INR,₹999.00,N/A
B09PBZ62F9,"RAGZO Men's Slim Fit Denim Jeans (t70018c_Brown_32)",₹698.00,https://m.media-amazon.com/images/I/31X1YKWK1+L._SL500_.jpg,https://www.amazon.in/dp/B09PBZ62F9?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B09PBZ62F9,219,698,INR,₹698.00,N/A
B07HL739QH,"Ben Martin Men's Slim Fit Stretchable 38 Size Green Cotton Denim Jeans Pant for Men, JJ3-12",₹649.00,https://m.media-amazon.com/images/I/41PkcNtXW-L._SL500_.jpg,https://www.amazon.in/dp/B07HL739QH?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B07HL739QH,102,649,INR,₹649.00,N/A
B085J7BK52,"Amazon Brand - Symbol Men's Skinny Jeans (SS20-NS-SY-SK01_Jet Black_34)",₹699.00,https://m.media-amazon.com/images/I/31QLvc6f-vL._SL500_.jpg,https://www.amazon.in/dp/B085J7BK52?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B085J7BK52,82,699,INR,₹699.00,N/A
B08Y9599ZG,"Urbano Plus Men's Black Regular Fit Washed Jeans Stretchable (plusepsp-black-44)",₹699.00,https://m.media-amazon.com/images/I/31eMOt9h8qL._SL500_.jpg,https://www.amazon.in/dp/B08Y9599ZG?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B08Y9599ZG,65,699,INR,₹699.00,N/A
B0758KCK57,"Diverse Men's Cotton Relaxed Fit Jeans (DVD02D1L01-2c_Indigo Blue3_36)",₹599.00,https://m.media-amazon.com/images/I/414pCjic+JL._SL500_.jpg,https://www.amazon.in/dp/B0758KCK57?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0758KCK57,1803,599,INR,₹599.00,N/A
